Booking #,Sex,Race,Age,Book Date,,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,,
2025-00605,F,W,45,3/11/2025  2:30:00 AM,,4/2/2025  8:00:00 AM,22.23,109,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00605,F,W,45,3/11/2025  2:30:00 AM,,4/2/2025  8:00:00 AM,22.23,109,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00606,F,W,40,3/11/2025  2:38:00 PM,,4/16/2025  10:23:00 AM,35.82,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00607,M,B,32,3/11/2025  2:58:00 PM,,11/6/2025  6:45:00 AM,239.66,047,DOC,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00607,M,B,32,3/11/2025  2:58:00 PM,,11/6/2025  6:45:00 AM,239.66,047,DOC,NAR3022F5,NARCOTICS POSSESSION,,
2025-00607,M,B,32,3/11/2025  2:58:00 PM,,11/6/2025  6:45:00 AM,239.66,047,DOC,NAR3045C9,NAR-CONSPIRACY/SALE FOR PROFIT,,
2025-00608,F,W,25,3/11/2025  5:00:00 PM,,3/14/2025  10:56:00 AM,2.75,109,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00609,M,W,41,3/11/2025  5:11:00 PM,,4/16/2025  5:20:00 PM,36.01,079,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00609,M,W,41,3/11/2025  5:11:00 PM,,4/16/2025  5:20:00 PM,36.01,079,BOND,STK2109M1,"STALKING WITH INTENT TO CAUSE FEAR, ASSAULT OR INJURY",,
2025-00610,M,B,44,3/11/2025  6:55:00 PM,,3/11/2025  8:15:00 PM,1.00,113,BOND,DMV6841F6,"OBTAIN OR POSSESS LICENSE,ID,REGESTRATION ETC. NOT ENTITLED",,
2025-00610,M,B,44,3/11/2025  6:55:00 PM,,3/11/2025  8:15:00 PM,1.00,113,BOND,PER5024F5,"PER-FALSLEY SUBSCRIBE WRITTEN DECLARATION,ETC.",,
2025-00611,M,W,34,3/11/2025  9:30:00 PM,,4/15/2025  5:15:00 PM,34.82,137,BOND,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00612,M,B,64,3/12/2025  12:25:00 AM,,3/12/2025  8:47:00 AM,1.00,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00613,M,W,36,3/12/2025  3:15:00 AM,,3/19/2025  1:48:00 PM,7.44,137,SENTENCE SERVED,DWI5447S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN 5 TO 10 YRS.,,
2025-00623,F,W,40,3/12/2025  8:11:00 AM,,3/14/2025  6:49:00 PM,2.44,079,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00614,M,B,66,3/12/2025  9:37:00 AM,,3/14/2025  2:21:00 PM,2.20,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00614,M,B,66,3/12/2025  9:37:00 AM,,3/14/2025  2:21:00 PM,2.20,137,BOND,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00616,M,W,34,3/12/2025  9:37:00 AM,,4/1/2025  9:06:00 AM,19.98,137,JUDGE,FRD2514F4,FRAUD COINS OR BANK NOTES,,
2025-00616,M,W,34,3/12/2025  9:37:00 AM,,4/1/2025  9:06:00 AM,19.98,137,JUDGE,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00616,M,W,34,3/12/2025  9:37:00 AM,,4/1/2025  9:06:00 AM,19.98,137,JUDGE,NAR3135C5,"NAR-CONSPIRACY/SELL.DISTRIBUTE,ETC.,SCHEDULE III DRUG (NOT ANABOLIC STEROID)",,
2025-00616,M,W,34,3/12/2025  9:37:00 AM,,4/1/2025  9:06:00 AM,19.98,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00616,M,W,34,3/12/2025  9:37:00 AM,,4/1/2025  9:06:00 AM,19.98,137,JUDGE,PRE4859S9,PRE-VIOLATIONS OF PRETRIAL BAIL OR CONDITIONS,,
2025-00615,F,B,39,3/12/2025  9:48:00 AM,,3/21/2025  9:12:00 AM,8.98,047,JUDGE,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00615,F,B,39,3/12/2025  9:48:00 AM,,3/21/2025  9:12:00 AM,8.98,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00615,F,B,39,3/12/2025  9:48:00 AM,,3/21/2025  9:12:00 AM,8.98,047,JUDGE,REC6631M2,"REC-FAIL TO STOP FOR POLICE,ATTEMPT TO ESCAPE OR ELUDE",,
2025-00615,F,B,39,3/12/2025  9:48:00 AM,,3/21/2025  9:12:00 AM,8.98,047,JUDGE,VAN2956F6,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT >=$1000",,
2025-00617,M,B,25,3/12/2025  12:21:00 PM,,3/18/2025  4:30:00 PM,6.17,109,BOND,ASL1336F2,ASSAULT STAB - CUT - WOUND W/MALICIOUS INTENT VICTIM PERM. IMPAIRED,,
2025-00617,M,B,25,3/12/2025  12:21:00 PM,,3/18/2025  4:30:00 PM,6.17,109,BOND,HIT6608F5,"TRAFFIC - HIT AND RUN, ACCIDENT REPORTS VICTIM INJURED - DRIVER FAILS TO STOP, REPORT OR ASSIST",,
2025-00618,M,B,23,3/12/2025  1:18:00 PM,,5/6/2025  6:00:00 AM,54.70,047,DOC,NAR3045F9,"SALE, ETC FOR PROFIT SCHEDULE I OR II DRUGS",,
2025-00618,M,B,23,3/12/2025  1:18:00 PM,,5/6/2025  6:00:00 AM,54.70,047,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00619,F,W,33,3/12/2025  1:23:00 PM,,3/12/2025  7:46:00 PM,1.00,065,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00622,M,B,32,3/12/2025  6:00:00 PM,,4/19/2025  6:00:00 PM,38.00,137,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00620,M,W,30,3/12/2025  6:28:00 PM,,3/13/2025  1:16:00 PM,1.00,029,JUDGE,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00620,M,W,30,3/12/2025  6:28:00 PM,,3/13/2025  1:16:00 PM,1.00,029,JUDGE,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-00620,M,W,30,3/12/2025  6:28:00 PM,,3/13/2025  1:16:00 PM,1.00,029,JUDGE,LIC6867M1,"LIC - DRIVE W/OUT VALID LICENSE,2ND SUBSEQUENT",,
2025-00620,M,W,30,3/12/2025  6:28:00 PM,,3/13/2025  1:16:00 PM,1.00,029,JUDGE,WPN5298F6,WEAPONS CONVICTED FELON POSSESS CONCEALED WEAPON (OTHER THAN FIREARM),,
2025-00621,M,U,49,3/12/2025  8:34:00 PM,,3/13/2025  12:41:00 PM,1.00,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00624,F,B,33,3/13/2025  2:35:00 AM,,3/13/2025  11:24:00 AM,1.00,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00625,M,W,41,3/13/2025  7:16:00 AM,,3/17/2025  7:25:00 PM,4.51,065,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00626,F,W,43,3/13/2025  9:38:00 AM,,3/19/2025  4:36:00 PM,6.29,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00626,F,W,43,3/13/2025  9:38:00 AM,,3/19/2025  4:36:00 PM,6.29,047,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00627,F,B,20,3/13/2025  9:38:00 AM,,3/26/2025  8:00:00 AM,12.93,047,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00627,F,B,20,3/13/2025  9:38:00 AM,,3/26/2025  8:00:00 AM,12.93,047,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00628,F,W,28,3/13/2025  2:49:00 PM,,3/19/2025  4:39:00 PM,6.08,139,BOND,NAR3042F9,NARCOTICS DISTRIBUTION (PROVIDE/SELL DRUGS TO BE RESOLD BY OTHERS),,
2025-00629,F,W,33,3/13/2025  3:56:00 PM,,3/17/2025  4:23:00 PM,4.02,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00629,F,W,33,3/13/2025  3:56:00 PM,,3/17/2025  4:23:00 PM,4.02,047,JUDGE,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00630,F,W,27,3/13/2025  3:56:00 PM,,3/28/2025  3:00:00 PM,14.96,047,SENTENCE SERVED,CON3279S9,MISBEHAVIOR IN THE PRESENCE OF THE COURT,,
2025-00631,M,W,20,3/14/2025  1:04:00 AM,,3/21/2025  4:20:00 PM,7.64,113,BOND,RAP1129F9,SEXUAL ASSAULT INTERCOURSE WITH VICTIM BY FORCE - THREAT OR INTIMIDATION,,
2025-00632,M,W,47,3/14/2025  3:20:00 AM,,3/24/2025  9:36:00 AM,10.26,109,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00632,M,W,47,3/14/2025  3:20:00 AM,,3/24/2025  9:36:00 AM,10.26,109,JUDGE,LAR2304F9,LAR-CONSPIRE COMMIT OR ASSIST/LARCENYW/AGGREGATE >$1000,,
2025-00632,M,W,47,3/14/2025  3:20:00 AM,,3/24/2025  9:36:00 AM,10.26,109,JUDGE,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00632,M,W,47,3/14/2025  3:20:00 AM,,3/24/2025  9:36:00 AM,10.26,109,JUDGE,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-00632,M,W,47,3/14/2025  3:20:00 AM,,3/24/2025  9:36:00 AM,10.26,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00632,M,W,47,3/14/2025  3:20:00 AM,,3/24/2025  9:36:00 AM,10.26,109,JUDGE,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00634,F,W,43,3/14/2025  8:01:00 AM,,3/24/2025  3:02:00 PM,10.29,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00633,M,W,20,3/14/2025  9:00:00 AM,,3/15/2025  9:00:00 AM,1.00,079,SENTENCE SERVED,REC6631M2,"REC-FAIL TO STOP FOR POLICE,ATTEMPT TO ESCAPE OR ELUDE",,
2025-00635,F,W,47,3/14/2025  12:55:00 PM,,5/9/2025  8:00:00 AM,55.80,047,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,FRD2520F5,FRAUD FORGERY,,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,FRD2541M1,"FRD-AFFIX ANOTHER'S SIGNATURE TO WRITING, MALICIOUSLY",,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,FRD2741M1,FRAUD FALSE PRETENSES - OBTAINING MONEY BY - <$1000,,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,NAR3014M1,NARCOTICS INHALE DRUGS - GLUE - ETC.,,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,NAR3044F9,NARCOTICS MANUFACTURE (MAKING/PRODUCING DRUGS FROM RAW BASE PRODUCTS),,
2025-00636,F,W,26,3/14/2025  12:55:00 PM,,5/1/2025  8:06:00 AM,47.80,047,JUDGE,WPN5303F6,WPN-POSSESS SCHEDULE I/II DRUG W/POSSESSING FIREARM,,
2025-00637,F,W,24,3/14/2025  3:10:00 PM,,4/10/2025  12:42:00 PM,26.90,139,STATUS CHANGE,BUR2213F9,BURGLARY DWELLING HOUSE WITH INTENT TO COMMIT LARCENY - A&B - ETC.,,
2025-00637,F,W,24,3/14/2025  3:10:00 PM,,4/10/2025  12:42:00 PM,26.90,139,STATUS CHANGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-00638,F,W,46,3/14/2025  3:10:00 PM,,4/10/2025  9:41:00 AM,26.77,139,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00638,F,W,46,3/14/2025  3:10:00 PM,,4/10/2025  9:41:00 AM,26.77,139,JUDGE,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-00638,F,W,46,3/14/2025  3:10:00 PM,,4/10/2025  9:41:00 AM,26.77,139,JUDGE,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00638,F,W,46,3/14/2025  3:10:00 PM,,4/10/2025  9:41:00 AM,26.77,139,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00639,F,W,35,3/14/2025  3:10:00 PM,,4/3/2025  4:43:00 PM,20.06,139,SENTENCE SERVED,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-00639,F,W,35,3/14/2025  3:10:00 PM,,4/3/2025  4:43:00 PM,20.06,139,SENTENCE SERVED,HIT6603M1,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TOREPORT<1000,,
2025-00639,F,W,35,3/14/2025  3:10:00 PM,,4/3/2025  4:43:00 PM,20.06,139,SENTENCE SERVED,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
2025-00639,F,W,35,3/14/2025  3:10:00 PM,,4/3/2025  4:43:00 PM,20.06,139,SENTENCE SERVED,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-00432,M,W,19,3/14/2025  5:00:00 PM,,3/15/2025  5:00:00 PM,1.00,079,SENTENCE SERVED,HIT6603M1,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TOREPORT<1000,,
2025-00434,M,B,27,3/14/2025  6:00:00 PM,,3/16/2025  6:00:00 PM,2.00,109,SENTENCE SERVED,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-00640,F,W,56,3/14/2025  6:00:00 PM,,3/14/2025  6:01:00 PM,1.00,109,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-00641,M,W,50,3/14/2025  6:00:00 PM,,3/14/2025  6:01:00 PM,1.00,109,SENTENCE SERVED,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2025-00642,M,W,46,3/14/2025  6:00:00 PM,,3/14/2025  6:01:00 PM,1.00,137,SENTENCE SERVED,ASL1335F6,ASSAULT STAB - CUT - WOUND WITHOUT MALICIOUS INTENT,,
2025-00642,M,W,46,3/14/2025  6:00:00 PM,,3/14/2025  6:01:00 PM,1.00,137,SENTENCE SERVED,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-00643,M,W,38,3/14/2025  6:00:00 PM,,3/14/2025  6:01:00 PM,1.00,137,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00645,M,W,50,3/14/2025  6:00:00 PM,,3/15/2025  6:00:00 PM,1.00,079,SENTENCE SERVED,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-00648,F,W,25,3/14/2025  6:00:00 PM,,3/15/2025  6:00:00 PM,1.00,137,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00644,F,W,40,3/14/2025  6:50:00 PM,,3/26/2025  3:24:00 PM,11.86,079,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00644,F,W,40,3/14/2025  6:50:00 PM,,3/26/2025  3:24:00 PM,11.86,079,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00647,F,W,21,3/14/2025  7:00:00 PM,,3/17/2025  8:00:00 AM,2.54,065,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00647,F,W,21,3/14/2025  7:00:00 PM,,3/17/2025  8:00:00 AM,2.54,065,SENTENCE SERVED,REC6629M1,TRAFFIC - RECKLESS DRIVING OUT OF CONTROL OR BAD BRAKES,,
2025-00649,M,W,20,3/15/2025  8:44:00 AM,,3/21/2025  3:01:00 PM,6.26,113,SENTENCE SERVED,PRT2114M1,PRT-VIOLATION OF A PROTECTIVE ORDER (GENERAL),,
2025-00650,M,W,19,3/15/2025  9:47:00 AM,,11/27/2025  8:00:00 AM,256.93,113,SENTENCE SERVED,ALC4165M1,ALCOHOL PURCHASE OR POSSESSION BY PERSON LESS THAN AGE 21,,
2025-00650,M,W,19,3/15/2025  9:47:00 AM,,11/27/2025  8:00:00 AM,256.93,113,SENTENCE SERVED,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-00650,M,W,19,3/15/2025  9:47:00 AM,,11/27/2025  8:00:00 AM,256.93,113,SENTENCE SERVED,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-00650,M,W,19,3/15/2025  9:47:00 AM,,11/27/2025  8:00:00 AM,256.93,113,SENTENCE SERVED,REC6625M1,TRAFFIC - RECKLESS DRIVING ENDANGER LIFE OR LIMB,,
2025-00651,M,W,42,3/15/2025  10:03:00 AM,,8/21/2025  10:35:00 AM,159.02,079,JUDGE,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00651,M,W,42,3/15/2025  10:03:00 AM,,8/21/2025  10:35:00 AM,159.02,079,JUDGE,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-00651,M,W,42,3/15/2025  10:03:00 AM,,8/21/2025  10:35:00 AM,159.02,079,JUDGE,WPN5185M1,CARRY CONCEALED WEAPON - FIREARM,,
2025-00651,M,W,42,3/15/2025  10:03:00 AM,,8/21/2025  10:35:00 AM,159.02,079,JUDGE,WPN5291F6,"WPN-CONVICTED FELON (NON-VIOLENT>10YRS.) POSSESS/TRANSP. FIREARM, ETC.",,
2025-00652,M,B,23,3/15/2025  4:00:00 PM,,3/15/2025  4:01:00 PM,1.00,137,SENTENCE SERVED,JUS4828M1,"JUS-RESISTING ARREST,OBSTRUCTING JUSTICE BY THREATS/FORCE",,
2025-00653,M,W,36,3/15/2025  5:00:00 PM,,3/16/2025  5:00:00 PM,1.00,137,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00654,M,W,24,3/15/2025  9:15:00 PM,,3/26/2025  9:35:00 PM,11.01,137,BOND,FRD2360F9,FRAUD THEFT OF CREDIT CARD,,
2025-00654,M,W,24,3/15/2025  9:15:00 PM,,3/26/2025  9:35:00 PM,11.01,137,BOND,FRD2635F6,CREDIT CARD FRAUD >=$1000 OVER 6 MONTH PERIOD,,
2025-00654,M,W,24,3/15/2025  9:15:00 PM,,3/26/2025  9:35:00 PM,11.01,137,BOND,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-00654,M,W,24,3/15/2025  9:15:00 PM,,3/26/2025  9:35:00 PM,11.01,137,BOND,LAR2404F9,LARCENY AUTO THEFT - GRAND LARCENY,,
2025-00655,M,W,19,3/16/2025  1:05:00 AM,,3/16/2025  4:05:00 AM,1.00,177,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00656,M,W,40,3/16/2025  2:45:00 AM,,3/16/2025  1:00:00 PM,1.00,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00657,F,W,45,3/16/2025  10:13:00 AM,,3/16/2025  12:47:00 PM,1.00,137,BOND,ARS2023F5,"ARSON, EXPLOSIVES, BOMBS OFFENDER 15 OR OVER",,
2025-00658,F,W,38,3/16/2025  10:35:00 AM,,3/26/2025  5:33:00 PM,10.29,065,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00658,F,W,38,3/16/2025  10:35:00 AM,,3/26/2025  5:33:00 PM,10.29,065,BOND,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00659,M,W,24,3/16/2025  10:52:00 AM,,3/16/2025  9:00:00 PM,1.00,113,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-00660,M,B,36,3/16/2025  10:15:00 PM,,3/17/2025  9:41:00 AM,1.00,177,JUDGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00660,M,B,36,3/16/2025  10:15:00 PM,,3/17/2025  9:41:00 AM,1.00,177,JUDGE,VAN3192M1,"VAN-DAMAGE PHONE LINE,ETC.TO PREVENT SUMMONNING POLICE",,
2025-00661,M,W,43,3/17/2025  3:25:00 PM,,7/16/2025  5:15:00 AM,120.58,109,DOC,BUR2214F2,"BURGLARY DWELLING WITH INTENT TO COMMIT LARCENY - A&B,ETC.-DEADLY WEAPON",,
2025-00661,M,W,43,3/17/2025  3:25:00 PM,,7/16/2025  5:15:00 AM,120.58,109,DOC,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00662,M,B,35,3/17/2025  3:39:00 PM,,3/26/2025  8:00:00 AM,8.68,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00663,M,W,42,3/18/2025  1:50:00 AM,,3/18/2025  2:23:00 AM,1.00,137,BOND,WPN5251M1,WEAPONS BRANDISH OR POINT FIREARM,,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,OBS3731F6,OBS-POSSESS CHILD PORN (FIRST OFFENSE),,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,OBS3751F9,"OBS-PRODUCE, MAKE CHILD PORN, AGE 15+, OFFENDER 7+ YRS.",,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,OBS3754F9,"OBS-TAKE PART,FILM CHILD PORN,AGE<15,OFFENDER 7 + YRS.",,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,OBS3755F9,"OBS-TAKE PART, FILM CHILD PORN, AGE < 15, OFFENDER 7+ YRS., 2ND OFFENSE",,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,RAP1133F9,SEXUAL ASSAULT VICTIM UNDER AGE 13,,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,RAP1136F9,SEXUAL ASSAULT VICTIM UNDER AGE 13,,
2025-00664,M,W,33,3/18/2025  9:44:00 AM,,,288.59,079,,SEX3635F6,SEX OFFENSES TAKE INDECENT LIBERTIES WITH CHILD-CUSTODIAN,,
2025-00665,F,W,40,3/18/2025  10:32:00 AM,,8/28/2025  8:00:00 AM,162.89,065,SENTENCE SERVED,PRI3241F5,PRISONERS DELIVERY OF NARCOTICS TO PRISONER,,
2025-00666,M,B,34,3/18/2025  12:21:00 PM,,12/15/2025  7:00:00 AM,271.78,165,DOC,NAR3045F9,"SALE, ETC FOR PROFIT SCHEDULE I OR II DRUGS",,
2025-00667,F,W,47,3/18/2025  1:25:00 PM,,3/27/2025  3:28:00 PM,9.09,047,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00667,F,W,47,3/18/2025  1:25:00 PM,,3/27/2025  3:28:00 PM,9.09,047,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00668,F,W,40,3/18/2025  1:25:00 PM,,4/5/2025  8:00:00 AM,17.77,047,SENTENCE SERVED,DWI5452M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST -  .15 TO .20 W/CHILD,,
2025-00668,F,W,40,3/18/2025  1:25:00 PM,,4/5/2025  8:00:00 AM,17.77,047,SENTENCE SERVED,HIT6610M1,"TRAFFIC - HIT AND RUN, ACCIDENT REPORTS DAMAGE OVER $250-DRIVER FAILS TO REPORT OR LEAVE NOTE",,
2025-00669,F,B,55,3/18/2025  1:25:00 PM,,5/23/2025  8:00:00 AM,65.77,047,SENTENCE SERVED,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-00669,F,B,55,3/18/2025  1:25:00 PM,,5/23/2025  8:00:00 AM,65.77,047,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00669,F,B,55,3/18/2025  1:25:00 PM,,5/23/2025  8:00:00 AM,65.77,047,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00670,M,B,31,3/18/2025  2:48:00 PM,,3/26/2025  3:24:00 PM,8.03,079,BOND,LAR2404F9,LARCENY AUTO THEFT - GRAND LARCENY,,
2025-00671,M,B,21,3/18/2025  7:40:00 PM,,6/13/2025  2:37:00 PM,86.79,137,JUDGE,CON3286S9,CON - GENERAL - WITHOUT JURY,,
